ID,Org,League,Year,Team,W,L,T,Pct,GB,RF,RA,Season,Postseason
1,MABL,18+,2012,Black Sox,11,5,0,0.687,0,141,113,1,1
2,MABL,18+,2012,Braves,11,5,0,0.687,0,128,118,0,0
3,MABL,18+,2012,Reds,10,6,0,0.625,1,149,92,0,0
4,MABL,18+,2012,Athletics,10,6,0,0.625,1,169,103,0,0
5,MABL,18+,2012,Bulldogs,8,8,0,0.5,3,144,123,0,0
6,MABL,18+,2012,Diablos,6,10,0,0.375,5,119,152,0,0
7,MABL,18+,2012,Angels,0,16,0,0,11,82,231,0,0
8,MABL,18+,2013,Athletics,12,3,0,0.8,0,105,57,1,0
9,MABL,18+,2013,Monarchs,11,4,0,0.733,1,99,86,0,1
10,MABL,18+,2013,Reds,8,7,0,0.533,4,119,55,0,0
11,MABL,18+,2013,Angels,6,9,0,0.4,6,77,98,0,0
12,MABL,18+,2013,Bulldogs,4,11,0,0.267,8,76,130,0,0
13,MABL,18+,2013,Black Sox,4,11,0,0.267,8,81,131,0,0
14,MABL,18+,2014,Athletics,11,4,0,0.733,0,166,81,1,0
15,MABL,18+,2014,Monarchs,10,5,0,0.667,1,123,98,0,1
16,MABL,18+,2014,Bulldogs,9,6,0,0.6,2,113,75,0,0
17,MABL,18+,2014,Orioles,8,7,0,0.533,3,104,132,0,0
18,MABL,18+,2014,Angels,5,10,0,0.333,6,89,149,0,0
19,MABL,18+,2014,Grays,2,13,0,0.133,9,94,154,0,0
20,MABL,18+,2015,Monarchs,11,3,0,0.786,0,136,62,1,1
21,MABL,18+,2015,Athletics,10,4,0,0.714,1,105,58,0,0
22,MABL,18+,2015,Angels,10,4,0,0.714,1,128,68,0,0
23,MABL,18+,2015,Bulldogs,9,5,0,0.643,2,109,61,0,0
24,MABL,18+,2015,Blue Jays,8,6,0,0.571,3,108,81,0,0
25,MABL,18+,2015,Orioles,5,9,0,0.357,6,74,90,0,0
26,MABL,18+,2015,Grays,2,12,0,0.143,9,66,114,0,0
27,MABL,18+,2015,Los Pericos,1,13,0,0.071,10,31,223,0,0
28,MABL,18+,2016,Athletics,13,1,0,0.929,0,116,42,1,0
29,MABL,18+,2016,Los Banditos,10,4,0,0.714,3,92,47,0,1
30,MABL,18+,2016,Orioles,9,5,0,0.643,4,95,77,0,0
31,MABL,18+,2016,Monarchs,7,7,0,0.5,6,93,67,0,0
32,MABL,18+,2016,Angels,7,7,0,0.5,6,110,96,0,0
33,MABL,18+,2016,Blue Jays,6,8,0,0.429,7,103,99,0,0
34,MABL,18+,2016,Grays,3,11,0,0.214,10,67,145,0,0
35,MABL,18+,2016,Los Pericos,1,13,0,0.071,12,33,136,0,0
36,MABL,18+,2017,Athletics,15,1,0,0.938,0,181,43,1,0
37,MABL,18+,2017,Blue Jays,13,3,0,0.813,2,141,63,0,1
38,MABL,18+,2017,Los Banditos,11,5,0,0.688,4,114,69,0,0
39,MABL,18+,2017,Monarchs,8,8,0,0.5,7,152,114,0,0
40,MABL,18+,2017,Angels,8,8,0,0.5,7,145,113,0,0
41,MABL,18+,2017,Orioles,8,8,0,0.5,7,122,115,0,0
42,MABL,18+,2017,Grays,7,9,0,0.438,8,83,122,0,0
43,MABL,18+,2017,Broncos,2,14,0,0.125,13,73,183,0,0
44,MABL,18+,2017,Los Pericos,0,16,0,0,15,29,218,0,0
45,MABL,35+,2012,Athletics,14,1,1,0.933,0,131,44,1,0
46,MABL,35+,2012,Rangers,11,4,1,0.733,3,125,86,0,0
47,MABL,35+,2012,Cubs,7,9,0,0.437,7.5,108,117,0,0
48,MABL,35+,2012,HomeBrewers,5,11,0,0.312,9.5,85,109,0,0
49,MABL,35+,2012,Grays,2,14,0,0.125,12.5,60,153,0,0
50,MABL,35+,2014,Diablos,11,3,0,0.786,0,127,56,1,0
51,MABL,35+,2014,Pirates,11,3,0,0.786,0,112,84,0,0
52,MABL,35+,2014,Athletics,9,5,0,0.643,2,123,85,0,0
53,MABL,35+,2014,Mariners,8,6,0,0.571,3,111,91,0,0
54,MABL,35+,2014,HomeBrewers,7,7,0,0.5,4,85,86,0,0
55,MABL,35+,2014,Latin Raiders,5,9,0,0.357,6,62,80,0,0
56,MABL,35+,2014,White Sox,3,11,0,0.214,8,72,124,0,0
57,MABL,35+,2014,Rangers,2,12,0,0.143,9,61,147,0,0
58,MABL,35+,2015,Monarchs,12,2,0,0.857,0,104,47,1,0
59,MABL,35+,2015,Athletics,11,3,0,0.786,1,95,60,0,0
60,MABL,35+,2015,Latin Raiders,9,5,0,0.643,3,94,61,0,0
61,MABL,35+,2015,Mariners,7,7,0,0.5,5,85,50,0,0
62,MABL,35+,2015,Pirates,7,7,0,0.5,5,90,95,0,0
63,MABL,35+,2015,HomeBrewers,6,8,0,0.429,6,81,79,0,0
64,MABL,35+,2015,Rangers,3,11,0,0.214,9,73,122,0,0
65,MABL,35+,2015,White Sox,1,13,0,0.071,11,34,142,0,0
66,MABL,35+,2016,Mariners,14,0,0,1,0,91,38,1,0
67,MABL,35+,2016,Monarchs,10,3,1,0.769,3.5,144,63,0,1
68,MABL,35+,2016,HomeBrewers,8,6,0,0.571,6,95,70,0,0
69,MABL,35+,2016,Pirates,7,6,1,0.539,6.5,116,88,0,0
70,MABL,35+,2016,Athletics,7,7,0,0.5,7,117,76,0,0
71,MABL,35+,2016,Rangers,4,10,0,0.286,10,72,115,0,0
72,MABL,35+,2016,White Sox,4,10,0,0.286,10,53,106,0,0
73,MABL,35+,2016,Mules,1,13,0,0.071,13,38,170,0,0
